Gene Name,Combinations,Diseases,ICD-10 ID,Partner Genes
BBS1,OLI037,Retinitis pigmentosa,H35.5,BBS1; CCDC28B
CCDC28B,OLI037,Retinitis pigmentosa,H35.5,BBS1; CCDC28B
CCDC28B,OLI038,Retinitis pigmentosa,H35.5,BBS1; CCDC28B
CCDC28B,OLI038,Hirschsprung disease,Q43.1,BBS1; CCDC28B
BBS1,OLI038,Retinitis pigmentosa,H35.5,BBS1; CCDC28B
BBS1,OLI038,Hirschsprung disease,Q43.1,BBS1; CCDC28B
BBS1,OLI039,Bardet-Biedl syndrome,Q87.8,BBS1; CCDC28B
CCDC28B,OLI039,Bardet-Biedl syndrome,Q87.8,BBS1; CCDC28B
DUOX2,OLI040,Congenital hypothyroidism,E00.9,DUOX1; DUOX2
DUOX1,OLI040,Congenital hypothyroidism,E00.9,DUOX1; DUOX2
BBS2,OLI041,Bardet-Biedl syndrome,Q87.8,BBS2; CCDC28B
CCDC28B,OLI041,Bardet-Biedl syndrome,Q87.8,BBS2; CCDC28B
CNGB3,OLI042,Isolated macular dystrophy,N.A.,CNGA3; CNGB3
CNGA3,OLI042,Isolated macular dystrophy,N.A.,CNGA3; CNGB3
CNGA3,OLI043,Achromatopsia,H53.5,CNGA3; CNGB3
CNGB3,OLI043,Achromatopsia,H53.5,CNGA3; CNGB3
CNGB3,OLI044,Oligocone trichromacy,N.A.,CNGA3; CNGB3
CNGA3,OLI044,Oligocone trichromacy,N.A.,CNGA3; CNGB3
CNGB3,OLI045,Progressive cone dystrophy,H35.5,CNGA3; CNGB3
CNGA3,OLI045,Progressive cone dystrophy,H35.5,CNGA3; CNGB3
CNGB3,OLI046,Achromatopsia,H53.5,CNGA3; CNGB3
CNGA3,OLI046,Achromatopsia,H53.5,CNGA3; CNGB3
CNGB3,OLI047,Achromatopsia,H53.5,CNGA3; CNGB3
CNGA3,OLI047,Achromatopsia,H53.5,CNGA3; CNGB3
CNGB3,OLI048,Achromatopsia,H53.5,CNGA3; CNGB3
CNGA3,OLI048,Achromatopsia,H53.5,CNGA3; CNGB3
CNGB3,OLI049,Achromatopsia,H53.5,CNGA3; CNGB3
CNGA3,OLI049,Achromatopsia,H53.5,CNGA3; CNGB3
CNGB3,OLI050,Achromatopsia,H53.5,CNGA3; CNGB3
CNGA3,OLI050,Achromatopsia,H53.5,CNGA3; CNGB3
NOT_HGNC 4q35,OLI051,Facioscapulohumeral dystrophy,G71.0,NOT_HGNC 4q35; SMCHD1
SMCHD1,OLI051,Facioscapulohumeral dystrophy,G71.0,NOT_HGNC 4q35; SMCHD1
STX11,OLI052,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; STX11
PRF1,OLI052,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; STX11
UNC13D,OLI053,Primary hemophagocytic lymphohistiocytosis,N.A.,STXBP2; UNC13D
STXBP2,OLI053,Primary hemophagocytic lymphohistiocytosis,N.A.,STXBP2; UNC13D
SH2D1A,OLI054,Primary hemophagocytic lymphohistiocytosis,N.A.,SH2D1A; UNC13D
UNC13D,OLI054,Primary hemophagocytic lymphohistiocytosis,N.A.,SH2D1A; UNC13D
UNC13D,OLI055,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; UNC13D
PRF1,OLI055,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; UNC13D
XIAP,OLI056,Primary hemophagocytic lymphohistiocytosis,N.A.,UNC13D; XIAP
UNC13D,OLI056,Primary hemophagocytic lymphohistiocytosis,N.A.,UNC13D; XIAP
STXBP2,OLI057,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; STXBP2
PRF1,OLI057,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; STXBP2
PRF1,OLI058,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; UNC13D
UNC13D,OLI058,Primary hemophagocytic lymphohistiocytosis,N.A.,PRF1; UNC13D
TTC8,OLI059,Bardet-Biedl syndrome,Q87.8,CCDC28B; TTC8
CCDC28B,OLI059,Bardet-Biedl syndrome,Q87.8,CCDC28B; TTC8
TMPRSS3,OLI060,Non-syndromic genetic deafness,H90.5,GJB2; TMPRSS3
GJB2,OLI060,Non-syndromic genetic deafness,H90.5,GJB2; TMPRSS3
BBS7,OLI061,Bardet-Biedl syndrome,Q87.8,BBS1; BBS7
BBS1,OLI061,Bardet-Biedl syndrome,Q87.8,BBS1; BBS7
BBS1,OLI062,Bardet-Biedl syndrome,Q87.8,BBS1; BBS4
BBS4,OLI062,Bardet-Biedl syndrome,Q87.8,BBS1; BBS4
BBS1,OLI063,Bardet-Biedl syndrome,Q87.8,BBS1; MKKS
MKKS,OLI063,Bardet-Biedl syndrome,Q87.8,BBS1; MKKS
BBS2,OLI064,Bardet-Biedl syndrome,Q87.8,BBS1; BBS2
BBS1,OLI064,Bardet-Biedl syndrome,Q87.8,BBS1; BBS2
BBS1,OLI065,Bardet-Biedl syndrome,Q87.8,BBS1; BBS2
BBS2,OLI065,Bardet-Biedl syndrome,Q87.8,BBS1; BBS2
MKKS,OLI066,Bardet-Biedl syndrome,Q87.8,BBS1; MKKS
BBS1,OLI066,Bardet-Biedl syndrome,Q87.8,BBS1; MKKS
MKKS,OLI067,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
BBS2,OLI067,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
MYH7,OLI068,Dilated cardiomyopathy,I42.0,LAMA4; MYH7
LAMA4,OLI068,Dilated cardiomyopathy,I42.0,LAMA4; MYH7
SLC45A2,OLI069,Oculocutaneous albinism,E70.3,SLC45A2; TYR
TYR,OLI069,Oculocutaneous albinism,E70.3,SLC45A2; TYR
SLC45A2,OLI070,Oculocutaneous albinism,E70.3,SLC45A2; TYR
TYR,OLI070,Oculocutaneous albinism,E70.3,SLC45A2; TYR
OCA2,OLI071,Oculocutaneous albinism,E70.3,OCA2; SLC45A2
SLC45A2,OLI071,Oculocutaneous albinism,E70.3,OCA2; SLC45A2
TYR,OLI072,Oculocutaneous albinism,E70.3,SLC45A2; TYR
SLC45A2,OLI072,Oculocutaneous albinism,E70.3,SLC45A2; TYR
TYR,OLI073,Oculocutaneous albinism,E70.3,OCA2; TYR
OCA2,OLI073,Oculocutaneous albinism,E70.3,OCA2; TYR
S100A3,OLI074,Idiopathic pulmonary fibrosis,J84.1,S100A13; S100A3
S100A13,OLI074,Idiopathic pulmonary fibrosis,J84.1,S100A13; S100A3
FGFR1,OLI075,Isolated congenital anosmia,Q07.8,FGFR1; SEMA3A
SEMA3A,OLI075,Isolated congenital anosmia,Q07.8,FGFR1; SEMA3A
TNFRSF13B,OLI076,Common variable immunodeficiency,D83.8,TCF3; TNFRSF13B
TCF3,OLI076,Common variable immunodeficiency,D83.8,TCF3; TNFRSF13B
LMNA,OLI077,Emery-Dreifuss muscular dystrophy,G71.0,EMD; LMNA
EMD,OLI077,Emery-Dreifuss muscular dystrophy,G71.0,EMD; LMNA
BBS10,OLI078,Alström syndrome,E34.8,BBS10; BBS12
BBS10,OLI078,Bardet-Biedl syndrome,Q87.8,BBS10; BBS12
BBS10,OLI078,McKusick-Kaufman syndrome,Q87.8,BBS10; BBS12
BBS12,OLI078,Alström syndrome,E34.8,BBS10; BBS12
BBS12,OLI078,Bardet-Biedl syndrome,Q87.8,BBS10; BBS12
BBS12,OLI078,McKusick-Kaufman syndrome,Q87.8,BBS10; BBS12
BBS1,OLI079,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10; BBS12
BBS12,OLI079,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10; BBS12
BBS10,OLI079,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10; BBS12
BBS1,OLI080,McKusick-Kaufman syndrome,Q87.8,BBS1; BBS12
BBS1,OLI080,Alström syndrome,E34.8,BBS1; BBS12
BBS1,OLI080,Bardet-Biedl syndrome,Q87.8,BBS1; BBS12
BBS12,OLI080,McKusick-Kaufman syndrome,Q87.8,BBS1; BBS12
BBS12,OLI080,Alström syndrome,E34.8,BBS1; BBS12
BBS12,OLI080,Bardet-Biedl syndrome,Q87.8,BBS1; BBS12
BBS4,OLI081,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; BBS4
BBS12,OLI081,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; BBS4
BBS2,OLI081,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; BBS4
BBS12,OLI082,Alström syndrome,E34.8,BBS12; BBS2; BBS4
BBS12,OLI082,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; BBS4
BBS2,OLI082,Alström syndrome,E34.8,BBS12; BBS2; BBS4
BBS2,OLI082,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; BBS4
BBS4,OLI082,Alström syndrome,E34.8,BBS12; BBS2; BBS4
BBS4,OLI082,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; BBS4
BBS5,OLI083,Alström syndrome,E34.8,BBS10; BBS5
BBS5,OLI083,Bardet-Biedl syndrome,Q87.8,BBS10; BBS5
BBS10,OLI083,Alström syndrome,E34.8,BBS10; BBS5
BBS10,OLI083,Bardet-Biedl syndrome,Q87.8,BBS10; BBS5
MKKS,OLI084,Bardet-Biedl syndrome,Q87.8,BBS10; MKKS
MKKS,OLI084,Alström syndrome,E34.8,BBS10; MKKS
BBS10,OLI084,Bardet-Biedl syndrome,Q87.8,BBS10; MKKS
BBS10,OLI084,Alström syndrome,E34.8,BBS10; MKKS
MKKS,OLI085,Bardet-Biedl syndrome,Q87.8,BBS10; MKKS
BBS10,OLI085,Bardet-Biedl syndrome,Q87.8,BBS10; MKKS
BBS12,OLI086,Bardet-Biedl syndrome,Q87.8,BBS12; BBS4
BBS12,OLI086,Alström syndrome,E34.8,BBS12; BBS4
BBS12,OLI086,McKusick-Kaufman syndrome,Q87.8,BBS12; BBS4
BBS4,OLI086,Bardet-Biedl syndrome,Q87.8,BBS12; BBS4
BBS4,OLI086,Alström syndrome,E34.8,BBS12; BBS4
BBS4,OLI086,McKusick-Kaufman syndrome,Q87.8,BBS12; BBS4
BBS9,OLI087,Bardet-Biedl syndrome,Q87.8,BBS12; BBS9; MKKS
BBS9,OLI087,Alström syndrome,E34.8,BBS12; BBS9; MKKS
BBS9,OLI087,McKusick-Kaufman syndrome,Q87.8,BBS12; BBS9; MKKS
MKKS,OLI087,Bardet-Biedl syndrome,Q87.8,BBS12; BBS9; MKKS
MKKS,OLI087,Alström syndrome,E34.8,BBS12; BBS9; MKKS
MKKS,OLI087,McKusick-Kaufman syndrome,Q87.8,BBS12; BBS9; MKKS
BBS12,OLI087,Bardet-Biedl syndrome,Q87.8,BBS12; BBS9; MKKS
BBS12,OLI087,Alström syndrome,E34.8,BBS12; BBS9; MKKS
BBS12,OLI087,McKusick-Kaufman syndrome,Q87.8,BBS12; BBS9; MKKS
BBS10,OLI088,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10
BBS1,OLI088,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10
BBS1,OLI089,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10
BBS10,OLI089,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10
REC8,OLI090,Primary ovarian failure,E28.3,GDF9; REC8
GDF9,OLI090,Primary ovarian failure,E28.3,GDF9; REC8
FOXL2,OLI091,Primary ovarian failure,E28.3,FOXL2; GALT
GALT,OLI091,Primary ovarian failure,E28.3,FOXL2; GALT
BMP15,OLI092,Primary ovarian failure,E28.3,BMP15; SMC1B
SMC1B,OLI092,Primary ovarian failure,E28.3,BMP15; SMC1B
SMC1B,OLI093,Primary ovarian failure,E28.3,NOBOX; SMC1B
NOBOX,OLI093,Primary ovarian failure,E28.3,NOBOX; SMC1B
FIGLA,OLI094,Primary ovarian failure,E28.3,FIGLA; GDF9
GDF9,OLI094,Primary ovarian failure,E28.3,FIGLA; GDF9
NOBOX,OLI095,Primary ovarian failure,E28.3,BMP15; NOBOX
BMP15,OLI095,Primary ovarian failure,E28.3,BMP15; NOBOX
KCNQ1,OLI096,Familial long QT syndrome,I45.8,KCNH2; KCNQ1
KCNH2,OLI096,Familial long QT syndrome,I45.8,KCNH2; KCNQ1
BBS4,OLI097,Bardet-Biedl syndrome,Q87.8,BBS4; BBS7
BBS7,OLI097,Bardet-Biedl syndrome,Q87.8,BBS4; BBS7
BBS2,OLI098,Bardet-Biedl syndrome,Q87.8,BBS2; BBS7
BBS7,OLI098,Bardet-Biedl syndrome,Q87.8,BBS2; BBS7
FGG,OLI099,Familial dysfibrinogenemia,D68.2,FGA; FGG
FGA,OLI099,Familial dysfibrinogenemia,D68.2,FGA; FGG
CDH23,OLI100,Usher syndrome type 1,H35.5,CDH23; MYO7A
MYO7A,OLI100,Usher syndrome type 1,H35.5,CDH23; MYO7A
AR,OLI1000,Androgen insensitivity syndrome,E34.5,AR; CBX2
AR,OLI1000,"46,XY disorder of sex development",N.A.,AR; CBX2
CBX2,OLI1000,Androgen insensitivity syndrome,E34.5,AR; CBX2
CBX2,OLI1000,"46,XY disorder of sex development",N.A.,AR; CBX2
AR,OLI1001,"46,XY disorder of sex development",N.A.,AR; ESR1
AR,OLI1001,Androgen insensitivity syndrome,E34.5,AR; ESR1
ESR1,OLI1001,"46,XY disorder of sex development",N.A.,AR; ESR1
ESR1,OLI1001,Androgen insensitivity syndrome,E34.5,AR; ESR1
POR,OLI1002,Androgen insensitivity syndrome,E34.5,AR; GJA4; POR
POR,OLI1002,"46,XY disorder of sex development",N.A.,AR; GJA4; POR
GJA4,OLI1002,Androgen insensitivity syndrome,E34.5,AR; GJA4; POR
GJA4,OLI1002,"46,XY disorder of sex development",N.A.,AR; GJA4; POR
AR,OLI1002,Androgen insensitivity syndrome,E34.5,AR; GJA4; POR
AR,OLI1002,"46,XY disorder of sex development",N.A.,AR; GJA4; POR
SRD5A2,OLI1003,Androgen insensitivity syndrome,E34.5,AR; SRD5A2
SRD5A2,OLI1003,"46,XY disorder of sex development",N.A.,AR; SRD5A2
AR,OLI1003,Androgen insensitivity syndrome,E34.5,AR; SRD5A2
AR,OLI1003,"46,XY disorder of sex development",N.A.,AR; SRD5A2
AR,OLI1004,"46,XY disorder of sex development",N.A.,AR; BMP7
AR,OLI1004,Androgen insensitivity syndrome,E34.5,AR; BMP7
BMP7,OLI1004,"46,XY disorder of sex development",N.A.,AR; BMP7
BMP7,OLI1004,Androgen insensitivity syndrome,E34.5,AR; BMP7
AR,OLI1005,Androgen insensitivity syndrome,E34.5,AR; PHF6
AR,OLI1005,"46,XY disorder of sex development",N.A.,AR; PHF6
PHF6,OLI1005,Androgen insensitivity syndrome,E34.5,AR; PHF6
PHF6,OLI1005,"46,XY disorder of sex development",N.A.,AR; PHF6
AR,OLI1006,Androgen insensitivity syndrome,E34.5,AR; BMP2
AR,OLI1006,"46,XY disorder of sex development",N.A.,AR; BMP2
BMP2,OLI1006,Androgen insensitivity syndrome,E34.5,AR; BMP2
BMP2,OLI1006,"46,XY disorder of sex development",N.A.,AR; BMP2
SLCO1B1,OLI1007,Rotor syndrome,E80.6,SLCO1B1; SLCO1B3
SLCO1B3,OLI1007,Rotor syndrome,E80.6,SLCO1B1; SLCO1B3
NEK1,OLI1008,Amyotrophic lateral sclerosis,G12.2,NEK1; SOD1
SOD1,OLI1008,Amyotrophic lateral sclerosis,G12.2,NEK1; SOD1
NEK1,OLI1009,Amyotrophic lateral sclerosis,G12.2,C9orf72; NEK1
C9orf72,OLI1009,Amyotrophic lateral sclerosis,G12.2,C9orf72; NEK1
MYO7A,OLI101,Usher syndrome type 1,H35.5,ADGRV1; MYO7A; USH2A
USH2A,OLI101,Usher syndrome type 1,H35.5,ADGRV1; MYO7A; USH2A
ADGRV1,OLI101,Usher syndrome type 1,H35.5,ADGRV1; MYO7A; USH2A
CCNF,OLI1010,Amyotrophic lateral sclerosis,G12.2,CCNF; NEK1
NEK1,OLI1010,Amyotrophic lateral sclerosis,G12.2,CCNF; NEK1
NEK1,OLI1011,Amyotrophic lateral sclerosis,G12.2,C9orf72; NEK1
C9orf72,OLI1011,Amyotrophic lateral sclerosis,G12.2,C9orf72; NEK1
ATXN1,OLI1012,Amyotrophic lateral sclerosis,G12.2,ATXN1; NEK1
NEK1,OLI1012,Amyotrophic lateral sclerosis,G12.2,ATXN1; NEK1
FIG4,OLI1013,Amyotrophic lateral sclerosis,G12.2,FIG4; NEK1
NEK1,OLI1013,Amyotrophic lateral sclerosis,G12.2,FIG4; NEK1
NEK1,OLI1014,Amyotrophic lateral sclerosis,G12.2,ATXN1; NEK1
ATXN1,OLI1014,Amyotrophic lateral sclerosis,G12.2,ATXN1; NEK1
GLE1,OLI1015,Amyotrophic lateral sclerosis,G12.2,GLE1; OPTN
OPTN,OLI1015,Amyotrophic lateral sclerosis,G12.2,GLE1; OPTN
PROKR2,OLI1016,Normosmic congenital hypogonadotropic hypogonadism,E23.0,ANOS1; PROKR2
ANOS1,OLI1016,Normosmic congenital hypogonadotropic hypogonadism,E23.0,ANOS1; PROKR2
SLCO1B1,OLI1017,Rotor syndrome,E80.6,SLCO1B1; SLCO1B3
SLCO1B3,OLI1017,Rotor syndrome,E80.6,SLCO1B1; SLCO1B3
SLCO1B3,OLI1018,Rotor syndrome,E80.6,SLCO1B1; SLCO1B3
SLCO1B1,OLI1018,Rotor syndrome,E80.6,SLCO1B1; SLCO1B3
BCKDHA,OLI1019,Maple syrup urine disease,E71.0,BCKDHA; DBT
DBT,OLI1019,Maple syrup urine disease,E71.0,BCKDHA; DBT
ADGRV1,OLI102,Usher syndrome type 1,H35.5,ADGRV1; MYO7A
MYO7A,OLI102,Usher syndrome type 1,H35.5,ADGRV1; MYO7A
DUOX2,OLI1020,Congenital hypothyroidism,E00.9,DUOX2; TPO
TPO,OLI1020,Congenital hypothyroidism,E00.9,DUOX2; TPO
DUOX2,OLI1021,Congenital hypothyroidism,E00.9,DUOX2; TG
TG,OLI1021,Congenital hypothyroidism,E00.9,DUOX2; TG
DUOX2,OLI1022,Congenital hypothyroidism,E00.9,DUOX2; TG
TG,OLI1022,Congenital hypothyroidism,E00.9,DUOX2; TG
DUOX2,OLI1023,Congenital hypothyroidism,E00.9,DUOX2; TG
TG,OLI1023,Congenital hypothyroidism,E00.9,DUOX2; TG
TG,OLI1024,Congenital hypothyroidism,E00.9,DUOX2; TG
DUOX2,OLI1024,Congenital hypothyroidism,E00.9,DUOX2; TG
TG,OLI1025,Congenital hypothyroidism,E00.9,TG; TPO
TPO,OLI1025,Congenital hypothyroidism,E00.9,TG; TPO
TPO,OLI1026,Congenital hypothyroidism,E00.9,TG; TPO
TG,OLI1026,Congenital hypothyroidism,E00.9,TG; TPO
HNF1B,OLI1027,MODY,E13,HNF1A; HNF1B
HNF1A,OLI1027,MODY,E13,HNF1A; HNF1B
HSPG2,OLI1028,Short stature-brachydactyly-obesity-global developmental delay syndrome,N.A.,HSPG2; PRMT7
PRMT7,OLI1028,Short stature-brachydactyly-obesity-global developmental delay syndrome,N.A.,HSPG2; PRMT7
SLC20A2,OLI1029,Bilateral striopallidodentate calcinosis,G23.8,PDGFRB; SLC20A2
PDGFRB,OLI1029,Bilateral striopallidodentate calcinosis,G23.8,PDGFRB; SLC20A2
MYO7A,OLI103,Usher syndrome type 1,H35.5,MYO7A; USH1G; USH2A
USH1G,OLI103,Usher syndrome type 1,H35.5,MYO7A; USH1G; USH2A
USH2A,OLI103,Usher syndrome type 1,H35.5,MYO7A; USH1G; USH2A
PPFIA4,OLI1030,Isolated focal cortical dysplasia,Q04.8,POLG; PPFIA4
POLG,OLI1030,Isolated focal cortical dysplasia,Q04.8,POLG; PPFIA4
LAMB3,OLI1031,Severe generalized junctional epidermolysis bullosa,Q81.1,LAMA3; LAMB3
LAMA3,OLI1031,Severe generalized junctional epidermolysis bullosa,Q81.1,LAMA3; LAMB3
SHROOM2,OLI1032,Atypical hemolytic uremic syndrome,D58.8,MYO7A; SHROOM2
MYO7A,OLI1032,Atypical hemolytic uremic syndrome,D58.8,MYO7A; SHROOM2
MYO7A,OLI1033,Atypical hemolytic uremic syndrome,D58.8,CDH23; MYO7A
CDH23,OLI1033,Atypical hemolytic uremic syndrome,D58.8,CDH23; MYO7A
ADGRV1,OLI1034,Atypical hemolytic uremic syndrome,D58.8,ADGRV1; MYO7A
MYO7A,OLI1034,Atypical hemolytic uremic syndrome,D58.8,ADGRV1; MYO7A
MYO7A,OLI1035,Atypical hemolytic uremic syndrome,D58.8,ADGRV1; MYO7A
ADGRV1,OLI1035,Atypical hemolytic uremic syndrome,D58.8,ADGRV1; MYO7A
CDH23,OLI1036,Atypical hemolytic uremic syndrome,D58.8,CDH23; MYO7A
MYO7A,OLI1036,Atypical hemolytic uremic syndrome,D58.8,CDH23; MYO7A
USH1C,OLI1037,Atypical hemolytic uremic syndrome,D58.8,MYO7A; USH1C
